Z	35	03:25:00	\N
Z	40	02:20:00	\N
Y	35	03:08:00	00:17:00
Y	40	02:09:00	00:11:00
X	35	01:48:00	00:37:00
X	40	02:00:00	00:20:00
X	50	01:20:00	\N
W	35	02:32:00	00:53:00
W	40	01:51:00	00:29:00
W	50	01:15:00	00:05:00
W	60	00:55:00	\N
V	35	02:19:00	01:06:00
V	40	01:44:00	00:36:00
V	50	01:11:00	00:09:00
V	60	00:54:00	00:01:00
U	35	02:07:00	01:18:00
U	40	01:37:00	00:43:00
U	50	01:07:00	00:13:00
U	60	00:52:00	00:03:00
T	35	01:57:00	01:28:00
T	40	01:31:00	00:49:00
T	50	01:03:00	00:17:00
T	60	00:49:00	00:06:00
T	70	00:40:00	\N
S	35	01:46:00	01:37:00
S	40	01:25:00	00:55:00
S	50	01:00:00	00:20:00
S	60	00:47:00	00:08:00
S	70	00:38:00	00:02:00
R	35	01:40:00	01:45:00
R	40	01:19:00	01:01:00
R	50	00:57:00	00:23:00
R	60	00:44:00	00:11:00
R	70	00:36:00	00:04:00
R	80	00:30:00	\N
Q	35	01:32:00	01:53:00
Q	40	01:14:00	01:06:00
Q	50	00:53:00	00:27:00
Q	60	00:42:00	00:15:00
Q	70	00:34:00	00:06:00
Q	80	00:29:00	\N
Q	90	00:25:00	\N
P	35	01:25:00	02:06:00
P	40	01:09:00	01:11:00
P	50	00:50:00	00:30:00
P	60	00:39:00	00:16:00
P	70	00:33:00	00:07:00
P	80	00:28:00	00:02:00
P	90	00:24:00	\N
O	35	01:19:00	02:06:00
O	40	01:24:00	01:16:00
O	50	00:47:00	00:33:00
O	60	00:37:00	00:18:00
O	70	00:31:00	00:09:00
O	80	00:28:00	00:04:00
O	90	00:23:00	00:02:00
O	100	00:20:00	\N
N	35	01:13:00	02:12:00
N	40	01:00:00	01:20:00
N	50	00:44:00	00:36:00
N	60	00:35:00	00:20:00
N	70	00:29:00	00:11:00
N	80	00:25:00	00:05:00
N	90	00:22:00	00:03:00
N	100	00:19:00	\N
M	35	01:07:00	02:18:00
M	40	00:55:00	01:25:00
M	50	00:41:00	00:39:00
M	60	00:33:00	00:22:00
M	70	00:27:00	00:13:00
M	80	00:23:00	00:07:00
M	90	00:21:00	00:04:00
M	100	00:18:00	00:02:00
M	110	00:16:00	\N
L	35	01:02:00	02:23:00
L	40	00:51:00	01:32:00
L	50	00:38:00	00:42:00
L	60	00:31:00	00:24:00
L	70	00:26:00	00:14:00
L	80	00:22:00	00:08:00
L	90	00:19:00	00:06:00
L	100	00:17:00	00:03:00
L	110	00:15:00	\N
K	35	00:57:00	02:28:00
K	40	00:48:00	01:32:00
K	50	00:36:00	00:44:00
K	60	00:29:00	00:28:00
K	70	00:24:00	00:18:00
K	80	00:21:00	00:09:00
K	90	00:18:00	00:07:00
K	100	00:16:00	00:04:00
K	110	00:14:00	00:02:00
K	120	00:13:00	\N
J	35	00:52:00	02:33:00
J	40	00:44:00	01:36:00
J	50	00:33:00	00:47:00
J	60	00:27:00	00:28:00
J	70	00:22:00	00:18:00
J	80	00:19:00	00:11:00
J	90	00:17:00	00:08:00
J	100	00:15:00	00:05:00
J	110	00:14:00	00:02:00
J	120	00:12:00	\N
I	35	00:48:00	02:37:00
I	40	00:40:00	01:40:00
I	50	00:31:00	00:49:00
I	60	00:25:00	00:30:00
I	70	00:21:00	00:19:00
I	80	00:18:00	00:12:00
I	90	00:16:00	00:09:00
I	100	00:14:00	00:05:00
I	110	00:13:00	00:02:00
I	120	00:12:00	\N
H	35	00:44:00	02:41:00
H	40	00:37:00	01:45:00
H	50	00:28:00	00:52:00
H	60	00:23:00	00:32:00
H	70	00:19:00	00:21:00
H	80	00:17:00	00:13:00
H	90	00:15:00	00:10:00
H	100	00:13:00	00:07:00
H	110	00:12:00	00:04:00
H	120	00:11:00	00:02:00
H	130	00:10:00	\N
G	35	00:40:00	02:45:00
G	40	00:34:00	01:46:00
G	50	00:26:00	00:54:00
G	60	00:21:00	00:34:00
G	70	00:18:00	00:22:00
G	80	00:15:00	00:15:00
G	90	00:13:00	00:12:00
G	100	00:12:00	00:08:00
G	110	00:11:00	00:05:00
G	120	00:10:00	00:03:00
G	130	00:09:00	\N
F	35	00:36:00	02:39:00
F	40	00:31:00	01:49:00
F	50	00:24:00	00:58:00
F	60	00:19:00	00:36:00
F	70	00:16:00	00:24:00
F	80	00:14:00	00:16:00
F	90	00:12:00	00:13:00
F	100	00:11:00	00:09:00
F	110	00:10:00	00:06:00
F	120	00:09:00	00:04:00
F	130	00:08:00	\N
E	35	00:32:00	02:53:00
E	40	00:27:00	01:53:00
E	50	00:21:00	00:59:00
E	60	00:17:00	00:38:00
E	70	00:15:00	00:26:00
E	80	00:13:00	00:17:00
E	90	00:11:00	00:14:00
E	100	00:10:00	00:10:00
E	110	00:09:00	00:07:00
E	120	00:08:00	00:05:00
E	130	00:08:00	\N
D	35	00:29:00	02:56:00
D	40	00:25:00	01:55:00
D	50	00:19:00	01:01:00
D	60	00:16:00	00:39:00
D	70	00:13:00	00:27:00
D	80	00:11:00	00:19:00
D	90	00:10:00	00:15:00
D	100	00:09:00	00:11:00
D	110	00:08:00	00:08:00
D	120	00:07:00	00:06:00
D	130	00:07:00	00:03:00
C	35	00:25:00	03:00:00
C	40	00:22:00	01:58:00
C	50	00:17:00	01:03:00
C	60	00:14:00	00:41:00
C	70	00:12:00	00:28:00
C	80	00:10:00	00:20:00
C	90	00:09:00	00:16:00
C	100	00:08:00	00:12:00
C	110	00:07:00	00:09:00
C	120	00:06:00	00:07:00
