35	A	00:10:00	N
40	A	00:09:00	N
50	A	00:07:00	N
60	A	00:06:00	N
70	A	00:05:00	N
80	A	00:04:00	N
90	A	00:04:00	N
35	B	00:19:00	N
40	B	00:16:00	N
50	B	00:13:00	N
60	B	00:11:00	N
70	B	00:09:00	N
80	B	00:08:00	N
90	B	00:07:00	N
35	C	00:25:00	N
40	C	00:22:00	N
50	C	00:17:00	N
60	C	00:14:00	N
70	C	00:12:00	N
80	C	00:10:00	N
90	C	00:09:00	N
35	D	00:29:00	N
40	D	00:25:00	N
50	D	00:19:00	N
60	D	00:16:00	N
70	D	00:13:00	N
80	D	00:11:00	N
90	D	00:10:00	N
35	E	00:32:00	N
40	E	00:27:00	N
50	E	00:21:00	N
60	E	00:17:00	N
70	E	00:15:00	N
80	E	00:13:00	N
90	E	00:11:00	N
35	F	00:36:00	N
40	F	00:31:00	N
50	F	00:24:00	N
60	F	00:19:00	N
70	F	00:16:00	N
80	F	00:14:00	N
90	F	00:12:00	N
35	G	00:40:00	N
40	G	00:34:00	N
50	G	00:26:00	N
60	G	00:21:00	N
70	G	00:18:00	N
80	G	00:15:00	N
90	G	00:13:00	N
35	H	00:44:00	N
40	H	00:37:00	N
50	H	00:28:00	N
60	H	00:23:00	N
70	H	00:19:00	N
80	H	00:17:00	N
90	H	00:15:00	N
100	A	00:03:00	Y
110	A	00:03:00	Y
120	A	00:03:00	Y
130	A	00:03:00	Y
140	A	00:01:00	Y
100	B	00:06:00	Y
110	B	00:06:00	Y
120	B	00:05:00	Y
130	B	00:05:00	Y
140	B	00:04:00	Y
100	C	00:08:00	Y
110	C	00:07:00	Y
120	C	00:06:00	Y
130	C	00:05:00	Y
140	C	00:05:00	Y
100	D	00:09:00	Y
110	D	00:08:00	Y
120	D	00:07:00	Y
130	D	00:07:00	Y
140	D	00:06:00	Y
100	E	00:10:00	Y
110	E	00:09:00	Y
120	E	00:08:00	Y
130	E	00:07:00	Y
140	E	00:07:00	Y
100	F	00:11:00	Y
110	F	00:10:00	Y
120	F	00:09:00	Y
130	F	00:08:00	Y
140	F	00:08:00	Y
100	G	00:12:00	Y
110	G	00:11:00	Y
120	G	00:10:00	Y
130	G	00:09:00	Y
140	G	\N	Y
100	H	00:13:00	Y
110	H	00:12:00	Y
120	H	00:11:00	Y
130	H	00:10:00	Y
140	H	\N	\N
35	I	00:48:00	N
40	I	00:40:00	N
50	I	00:31:00	N
60	I	00:25:00	N
70	I	00:21:00	N
80	I	00:18:00	N
90	I	00:16:00	N
100	I	00:14:00	Y
110	I	00:13:00	Y
120	I	00:11:00	Y
130	I	\N	\N
140	I	\N	\N
35	J	00:52:00	N
40	J	00:44:00	N
50	J	00:33:00	N
60	J	00:27:00	N
70	J	00:22:00	N
80	J	00:19:00	N
90	J	00:17:00	N
100	J	00:15:00	Y
110	J	00:13:00	Y
120	J	00:12:00	Y
130	J	\N	\N
140	J	\N	\N
35	K	00:57:00	N
40	K	00:45:00	N
50	K	00:36:00	N
60	K	00:29:00	N
70	K	00:24:00	N
80	K	00:21:00	N
90	K	00:18:00	N
100	K	00:16:00	Y
110	K	00:14:00	Y
120	K	00:13:00	Y
130	K	\N	\N
140	K	\N	\N
35	L	01:02:00	N
40	L	00:51:00	N
50	L	00:39:00	N
60	L	00:31:00	N
70	L	00:26:00	N
80	L	00:22:00	N
90	L	00:19:00	N
100	L	00:17:00	Y
110	L	00:15:00	Y
120	L	\N	\N
130	L	\N	\N
140	L	\N	\N
35	M	01:07:00	N
40	M	00:55:00	N
50	M	00:41:00	N
60	M	00:33:00	N
70	M	00:27:00	N
80	M	00:23:00	N
90	M	00:21:00	N
100	M	00:18:00	Y
110	M	00:16:00	Y
120	M	\N	\N
130	M	\N	\N
140	M	\N	\N
35	N	01:13:00	N
40	N	01:00:00	N
50	N	00:44:00	N
60	N	00:35:00	N
70	N	00:29:00	N
80	N	00:25:00	N
90	N	00:22:00	Y
100	N	00:19:00	Y
110	N	\N	\N
120	N	\N	\N
130	N	\N	\N
140	N	\N	\N
35	O	01:19:00	N
40	O	01:04:00	N
50	O	00:47:00	N
60	O	00:37:00	N
70	O	00:31:00	N
80	O	00:26:00	Y
90	O	00:22:00	Y
100	O	00:20:00	Y
110	O	\N	\N
120	O	\N	\N
130	O	\N	\N
140	O	\N	\N
35	P	01:25:00	N
40	P	01:09:00	N
50	P	00:50:00	N
60	P	00:39:00	N
70	P	00:33:00	N
80	P	00:28:00	Y
90	P	00:24:00	Y
100	P	\N	\N
110	P	\N	\N
120	P	\N	\N
130	P	\N	\N
140	P	\N	\N
35	Q	01:32:00	N
40	Q	01:14:00	N
50	Q	00:53:00	N
60	Q	00:42:00	N
70	Q	00:35:00	Y
80	Q	00:29:00	Y
90	Q	00:25:00	Y
100	Q	\N	\N
110	Q	\N	\N
120	Q	\N	\N
130	Q	\N	\N
140	Q	\N	\N
35	R	01:40:00	N
40	R	01:19:00	N
50	R	00:57:00	N
60	R	00:44:00	N
70	R	00:36:00	Y
80	R	00:30:00	Y
90	R	\N	\N
100	R	\N	\N
110	R	\N	\N
120	R	\N	\N
130	R	\N	\N
140	R	\N	\N
35	S	01:48:00	N
40	S	01:25:00	N
50	S	01:00:00	N
60	S	00:47:00	N
70	S	00:38:00	Y
80	S	\N	\N
90	S	\N	\N
100	S	\N	\N
110	S	\N	\N
120	S	\N	\N
130	S	\N	\N
140	S	\N	\N
35	T	01:57:00	N
40	T	01:31:00	N
50	T	01:03:00	N
60	T	00:49:00	Y
70	T	00:40:00	Y
80	T	\N	\N
90	T	\N	\N
100	T	\N	\N
110	T	\N	\N
120	T	\N	\N
130	T	\N	\N
140	T	\N	\N
35	U	02:07:00	N
40	U	01:37:00	N
50	U	01:07:00	Y
60	U	00:52:00	Y
70	U	\N	\N
80	U	\N	\N
90	U	\N	\N
100	U	\N	\N
110	U	\N	\N
120	U	\N	\N
130	U	\N	\N
140	U	\N	\N
35	V	02:19:00	N
40	V	01:44:00	N
50	V	01:11:00	Y
60	V	00:54:00	Y
70	V	\N	\N
80	V	\N	\N
90	V	\N	\N
100	V	\N	\N
110	V	\N	\N
120	V	\N	\N
130	V	\N	\N
140	V	\N	\N
35	W	02:32:00	Y
40	W	01:51:00	Y
50	W	01:15:00	Y
60	W	00:55:00	Y
70	W	\N	\N
80	W	\N	\N
90	W	\N	\N
100	W	\N	\N
110	W	\N	\N
120	W	\N	\N
130	W	\N	\N
140	W	\N	\N
35	X	02:48:00	Y
40	X	02:00:00	Y
50	X	01:20:00	Y
60	X	\N	\N
70	X	\N	\N
80	X	\N	\N
90	X	\N	\N
100	X	\N	\N
110	X	\N	\N
120	X	\N	\N
130	X	\N	\N
140	X	\N	\N
35	Y	02:48:00	Y
40	Y	02:09:00	Y
50	Y	\N	\N
60	Y	\N	\N
70	Y	\N	\N
80	Y	\N	\N
90	Y	\N	\N
100	Y	\N	\N
110	Y	\N	\N
120	Y	\N	\N
130	Y	\N	\N
140	Y	\N	\N
35	Z	03:25:00	Y
40	Z	02:20:00	Y
50	Z	\N	\N
60	Z	\N	\N
70	Z	\N	\N
80	Z	\N	\N
90	Z	\N	\N
100	Z	\N	\N
110	Z	\N	\N
120	Z	\N	\N
130	Z	\N	\N
140	Z	\N	\N
